"OrganizationName","Representatives","ConnectedOrganizations"
"""STOWARZYSZENIE ""NOWA SZKOŁA"" W LUBASZOWEJ""","Jerzy Wróbel","'MTM KONSTRUKCJE', 'TUCHOWSKIE TOWARZYSTWO PRYWATNYCH PRZEDSIĘBIORCÓW W TUCHOWIE'"
"""RHEINZINK POLSKA""","Heinz Beerkircher",""
"""RHEINZINK POLSKA""","Krzysztof Czarnocki",""
"""DELMAR""","Krzysztof Doliński","'EMPRESS NIERUCHOMOŚCI'"
"""DELMAR""","Ewa Dolińska",""
"""NIEZALEŻNY SAMORZĄDNY ZWIĄZEK ZAWODOWY PRACOWNIKÓW PRZEDSIĘBIORSTWA HANDLU ZAGRANICZNEGO ""PEZETEL"" W WARSZAWIE""","Krystyna Snopczyńska Kurowska",""
"""NIEZALEŻNY SAMORZĄDNY ZWIĄZEK ZAWODOWY PRACOWNIKÓW PRZEDSIĘBIORSTWA HANDLU ZAGRANICZNEGO ""PEZETEL"" W WARSZAWIE""","Beata Janiak",""
"""NIEZALEŻNY SAMORZĄDNY ZWIĄZEK ZAWODOWY PRACOWNIKÓW PRZEDSIĘBIORSTWA HANDLU ZAGRANICZNEGO ""PEZETEL"" W WARSZAWIE""","Dariusz Dębowczyk","'MILITUS-PL', 'MILTRACO'"
"""NIEZALEŻNY SAMORZĄDNY ZWIĄZEK ZAWODOWY PRACOWNIKÓW PRZEDSIĘBIORSTWA HANDLU ZAGRANICZNEGO ""PEZETEL"" W WARSZAWIE""","Roman Bilicz",""
"""NIEZALEŻNY SAMORZĄDNY ZWIĄZEK ZAWODOWY PRACOWNIKÓW PRZEDSIĘBIORSTWA HANDLU ZAGRANICZNEGO ""PEZETEL"" W WARSZAWIE""","Iwona Kurzynoga Kaim",""
"""NIEZALEŻNY SAMORZĄDNY ZWIĄZEK ZAWODOWY PRACOWNIKÓW PRZEDSIĘBIORSTWA HANDLU ZAGRANICZNEGO ""PEZETEL"" W WARSZAWIE""","Hanna Kącka","'STOWARZYSZENIE POMOCY I WSPARCIA ""LEPSZY ŚWIAT - LEPSZY LOS""'"
"""OCHOTNICZA STRAŻ POŻARNA W RDZAWIE""","Kazimierz Stelmach",""
"""OCHOTNICZA STRAŻ POŻARNA W RDZAWIE""","Stanisław Mroczek",""
"""OCHOTNICZA STRAŻ POŻARNA W RDZAWIE""","Daniel Dudzic",""
"""OCHOTNICZA STRAŻ POŻARNA W RDZAWIE""","Adrian Grabowski",""
"""OCHOTNICZA STRAŻ POŻARNA W RDZAWIE""","Łukasz Pietroń",""
"""OCHOTNICZA STRAŻ POŻARNA W RDZAWIE""","Krzysztof Szewczyk",""
"""OCHOTNICZA STRAŻ POŻARNA W RDZAWIE""","Mateusz Dusza",""
"""OCHOTNICZA STRAŻ POŻARNA W RDZAWIE""","Marek Grabias",""
"""OCHOTNICZA STRAŻ POŻARNA W RDZAWIE""","Władysław Kłósek",""
"""OCHOTNICZA STRAŻ POŻARNA W RDZAWIE""","Franciszek Zatorski",""
"""OCHOTNICZA STRAŻ POŻARNA W RDZAWIE""","Marian Pijanowski",""
"""OCHOTNICZA STRAŻ POŻARNA W RDZAWIE""","Walerian Więcław",""
"""OCHOTNICZA STRAŻ POŻARNA W RDZAWIE""","Stefan Król",""
"""OCHOTNICZA STRAŻ POŻARNA W TYŚMIENICY""","Kazimierz Kalbarczyk",""
"""OCHOTNICZA STRAŻ POŻARNA W TYŚMIENICY""","Zbigniew Szymczak",""
"""OCHOTNICZA STRAŻ POŻARNA W TYŚMIENICY""","Emil Grabowski",""
"""OCHOTNICZA STRAŻ POŻARNA W TYŚMIENICY""","Arkadiusz Szewczyk",""
"""OCHOTNICZA STRAŻ POŻARNA W TYŚMIENICY""","Konrad Szymczak",""
"""OCHOTNICZA STRAŻ POŻARNA W TYŚMIENICY""","Janusz Czubacki",""
"""OCHOTNICZA STRAŻ POŻARNA W TYŚMIENICY""","Kazimierz Piwowarski",""
"""OCHOTNICZA STRAŻ POŻARNA W TYŚMIENICY""","Józef Wójcik",""
"""BUDOAREX""","Arkadiusz Wasiak",""
"""FOTOSTAR POLSKA""","Filip Fertner","'FUNDACJA BADAŃ I ROZWOJU NAUKI', 'VECTOR INVESTMENT SOLUTIONS'"
"""FOTOSTAR POLSKA""","Cezary Karniewski","'FOTOSTAR INVEST'"
"""STOWARZYSZENIE LEŚNY DOM""","Magdalena Falińska",""
"""STOWARZYSZENIE LEŚNY DOM""","Barbara Piróg",""
"""STOWARZYSZENIE LEŚNY DOM""","Tomasz Gawryś","'POLSKA IZBA CERTYFIKACJI PRODUKTÓW EKOLOGICZNYCH'"
"""STOWARZYSZENIE LEŚNY DOM""","Monika Sajkowska","'FUNDACJA IMIENIA KAZIMIERZA I ZOFII MOCZARSKICH'"
"""STOWARZYSZENIE LEŚNY DOM""","Henryk Staniak",""
"""STOWARZYSZENIE LEŚNY DOM""","Alicja Siemianowska",""
"""STOWARZYSZENIE LEŚNY DOM""","Joanna Cackowska",""
"""STOWARZYSZENIE LEŚNY DOM""","Małgorzata Sitkiewicz",""
"""STOWARZYSZENIE LEŚNY DOM""","Alina Korzeniowska","'GIOTTO WATER PL', 'GARIONI NAVAL POLSKA'"
"""STOWARZYSZENIE ""OGRODY NAD STAWEM""""","Andrzej Badowski",""
"""STOWARZYSZENIE ""OGRODY NAD STAWEM""""","Marian Kowalski",""
"""STOWARZYSZENIE ""OGRODY NAD STAWEM""""","Aleksandra Żórawska Glessner","'STOWARZYSZENIE MIŁOŚNIKÓW ROŚLINNYCH DARÓW NATURY ""ŻYWORÓDKA PIERZASTA""', 'GDAŃSKI KOMITET OBYWATELSKI', 'WRZESZCZAŃSKIE KOMITETY OBYWATELSKIE'"
"""R.K. NIEDZIAŁEK HURTOWNIA""","Krzysztof Sarna","'R.K. NIEDZIAŁEK'"
"""R.K. NIEDZIAŁEK HURTOWNIA""","Agnieszka Siłuch","'R.K. NIEDZIAŁEK'"
"""R.K. NIEDZIAŁEK HURTOWNIA""","Barbara Niedziałek","'R.K. NIEDZIAŁEK'"
"""R.K. NIEDZIAŁEK HURTOWNIA""","Robert Niedziałek","'ZJEDZ ZDROWO', 'IT BUSINESS CONSULTING CENTER', '""RK NIEDZIAŁEK"" KRZYSZTOF NIEDZIAŁEK, ROBERT NIEDZIAŁEK', 'R.K. NIEDZIAŁEK'"
"""R.K. NIEDZIAŁEK HURTOWNIA""","Edyta Niedziałek","'R.K. NIEDZIAŁEK'"
"""R.K. NIEDZIAŁEK HURTOWNIA""","Magdalena Niedziałek","'FUNDACJA ODKRYWAMY TALENTY', 'R.K. NIEDZIAŁEK'"
"""R.K. NIEDZIAŁEK HURTOWNIA""","Krzysztof Niedziałek","'IT BUSINESS CONSULTING CENTER', '""RK NIEDZIAŁEK"" KRZYSZTOF NIEDZIAŁEK, ROBERT NIEDZIAŁEK', 'R.K. NIEDZIAŁEK'"
"""MIKOMAX 3- MEBLE BIUROWE""","Anna Zapędowska",""
"""MIKOMAX 3- MEBLE BIUROWE""","Maciej Zapędowski","'MX SMART OFFICE', 'MIKOMAX 3 - MEBLE BIUROWE SP. Z O.O. M. ZAPĘDOWSKI'"
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW SZPITALA WOJEWÓDZKIEGO NR 2 IM. ŚW. JADWIGI KRÓLOWEJ W RZESZOWIE""","Edyta Armata",""
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW SZPITALA WOJEWÓDZKIEGO NR 2 IM. ŚW. JADWIGI KRÓLOWEJ W RZESZOWIE""","Katarzyna Żukowski",""
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW SZPITALA WOJEWÓDZKIEGO NR 2 IM. ŚW. JADWIGI KRÓLOWEJ W RZESZOWIE""","Violetta Błachut",""
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW SZPITALA WOJEWÓDZKIEGO NR 2 IM. ŚW. JADWIGI KRÓLOWEJ W RZESZOWIE""","Renata Ziemińska",""
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW SZPITALA WOJEWÓDZKIEGO NR 2 IM. ŚW. JADWIGI KRÓLOWEJ W RZESZOWIE""","Regina Ciasnocha",""
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW SZPITALA WOJEWÓDZKIEGO NR 2 IM. ŚW. JADWIGI KRÓLOWEJ W RZESZOWIE""","Krystyna Krztoń",""
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW SZPITALA WOJEWÓDZKIEGO NR 2 IM. ŚW. JADWIGI KRÓLOWEJ W RZESZOWIE""","Marta Poręba",""
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW SZPITALA WOJEWÓDZKIEGO NR 2 IM. ŚW. JADWIGI KRÓLOWEJ W RZESZOWIE""","Jadwiga Kilian",""
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW SZPITALA WOJEWÓDZKIEGO NR 2 IM. ŚW. JADWIGI KRÓLOWEJ W RZESZOWIE""","Artur Bijoś",""
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW SZPITALA WOJEWÓDZKIEGO NR 2 IM. ŚW. JADWIGI KRÓLOWEJ W RZESZOWIE""","Maria Kryńska",""
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW SZPITALA WOJEWÓDZKIEGO NR 2 IM. ŚW. JADWIGI KRÓLOWEJ W RZESZOWIE""","Sabina Rudawska",""
"""OKRĘGOWY SZKOLNY ZWIĄZEK SPORTOWY W KOSZALINIE""","Ewa Kubiak","'ODDZIAŁ KOSZALIŃSKI POLSKIEGO TOWARZYSTWA TURYSTYCZNO-KRAJOZNAWCZEGO', 'MIEJSKI SZKOLNY'"
"""OKRĘGOWY SZKOLNY ZWIĄZEK SPORTOWY W KOSZALINIE""","Paweł Michalik",""
"""OKRĘGOWY SZKOLNY ZWIĄZEK SPORTOWY W KOSZALINIE""","Maryla Sochacka","'POWIATOWY SZKOLNY ZWIĄZEK SPORTOWY W BIAŁOGARDZIE'"
"""OKRĘGOWY SZKOLNY ZWIĄZEK SPORTOWY W KOSZALINIE""","Adam Wilk","'MIEJSKI SZKOLNY ZWIĄZEK SPORTOWY W ŚWIDWINIE'"
"""OKRĘGOWY SZKOLNY ZWIĄZEK SPORTOWY W KOSZALINIE""","Grzegorz Grabski",""
"""OKRĘGOWY SZKOLNY ZWIĄZEK SPORTOWY W KOSZALINIE""","Grzegorz Zaganiacz","'WOJEWÓDZKI SZKOLNY ZWIĄZEK SPORTOWY'"
"""OKRĘGOWY SZKOLNY ZWIĄZEK SPORTOWY W KOSZALINIE""","Jacek Brynkiewicz",""
"""OKRĘGOWY SZKOLNY ZWIĄZEK SPORTOWY W KOSZALINIE""","Józef Grabarczyk","'POWIATOWY SZKOLNY ZWIĄZEK SPORTOWY W BIAŁOGARDZIE', 'OKRĘGOWY ZWIĄZEK LEKKIEJ ATLETYKI'"
"""OKRĘGOWY SZKOLNY ZWIĄZEK SPORTOWY W KOSZALINIE""","Dariusz Krajewski",""
"""OKRĘGOWY SZKOLNY ZWIĄZEK SPORTOWY W KOSZALINIE""","Michał Kulpa","'OCHOTNICZA STRAŻ POŻARNA ""STREFA CENTRALNA"" W DRAWSKU POMORSKIM'"
"""OKRĘGOWY SZKOLNY ZWIĄZEK SPORTOWY W KOSZALINIE""","Lidia Aziewicz","'MIEJSKI SZKOLNY'"
"""OKRĘGOWY SZKOLNY ZWIĄZEK SPORTOWY W KOSZALINIE""","Andrzej Korol","'WOJEWÓDZKI SZKOLNY ZWIĄZEK SPORTOWY', 'OKRĘGOWY ZWIĄZEK LEKKIEJ ATLETYKI'"
"""OKRĘGOWY SZKOLNY ZWIĄZEK SPORTOWY W KOSZALINIE""","Leszek Bronowicki","'MIEJSKI SZKOLNY ZWIĄZEK SPORTOWY W ŚWIDWINIE'"
"""OKRĘGOWY SZKOLNY ZWIĄZEK SPORTOWY W KOSZALINIE""","Kazimierz Margol","'SZCZECINECKIE STOWARZYSZENIE KARDIOLOGICZNE ""MOJE SERCE""'"
"""OKRĘGOWY SZKOLNY ZWIĄZEK SPORTOWY W KOSZALINIE""","Wiesław Bocheński",""
"""OKRĘGOWY SZKOLNY ZWIĄZEK SPORTOWY W KOSZALINIE""","Maria Jańczak",""
"""OKRĘGOWY SZKOLNY ZWIĄZEK SPORTOWY W KOSZALINIE""","Grzegorz Hermann",""
"""OKRĘGOWY SZKOLNY ZWIĄZEK SPORTOWY W KOSZALINIE""","Edward Jacewicz","'KLUB LEKKOATLETYCZNY ""BAŁTYK""', 'OKRĘGOWY ZWIĄZEK LEKKIEJ ATLETYKI'"
"""OKRĘGOWY SZKOLNY ZWIĄZEK SPORTOWY W KOSZALINIE""","Irena Szczykutowicz",""
"""OKRĘGOWY SZKOLNY ZWIĄZEK SPORTOWY W KOSZALINIE""","Romuald Wiśniewski",""
"""OKRĘGOWY SZKOLNY ZWIĄZEK SPORTOWY W KOSZALINIE""","Krystyna Ogińska",""
"""OKRĘGOWY SZKOLNY ZWIĄZEK SPORTOWY W KOSZALINIE""","Kazimierz Kławsiuć",""
"""OKRĘGOWY SZKOLNY ZWIĄZEK SPORTOWY W KOSZALINIE""","Tadeusz Kościuk",""
"""OKRĘGOWY SZKOLNY ZWIĄZEK SPORTOWY W KOSZALINIE""","Jan Witek",""
"""OKRĘGOWY SZKOLNY ZWIĄZEK SPORTOWY W KOSZALINIE""","Jolanta Barta",""
"""OKRĘGOWY SZKOLNY ZWIĄZEK SPORTOWY W KOSZALINIE""","Eugeniusz Szybisty",""
